arquivo,100 KB,1.5 MB,500 MB,1 GB,2 GB,4 GB
log1,0.000996,0.011444,5.163874,9.500320 ,18.616842,37.697214 
log2,0.002000 ,0.010993,3.902656 ,10.795518,20.320005,39.870128
log3,0.001998,0.012992,4.453957 ,17.242588,20.171567,38.459186
log4,0.001999,0.013991,5.299122,10.071473,20.569469,42.071539
log5,0.002000,0.011993,5.830067,10.445322,20.178713,35.928571 
