arquivo,100 KB,1.5 MB,500 MB,1 GB,2 GB,4 GB
log1,0.001000,0.009992 ,5.038729,9.122160 ,20.418900,35.508575
log2,0.000997,0.010991,5.700013,10.131206,21.002668,40.267291
log3,0.001998,0.011728,4.870499,10.168683,19.628568,41.318466
log4,0.001844,0.010992 ,5.296996,10.773001,21.082688,41.044750
log5,0.000996,0.010991,4.667447,9.088171,18.005894,41.238238
