arquivo,100 KB,1.5 MB,500 MB,1 GB,2 GB,4 GB
log1,0.107932,0.672051,8.086080,16.370050,32.108729,65.842387
log2,0.002997,0.031007,7.993773,15.885095,32.326517,65.353872
log3,0.002996,0.063960,8.010109,16.146018,33.532393,64.887490
log4,0.001998,0.028984,8.189176,16.527967,32.042217,69.079130
log5,0.002998,0.031979,9.436411,17.260340,33.072515,66.117334
log6,0.002997,0.030977,8.620592,16.917852,32.259615,66.177140
log7,0.003997,0.027016,7.927207,15.919473,33.142973,66.208683
log8,0.002998,0.026982,7.901037,16.066040,33.603447,64.571202
log9,0.003000,0.032978,8.072761,16.047928,32.208840,68.388685
log10,0.004997,0.046971,8.252556,18.444116,36.627624,72.006691
