arquivo,100 KB,1.5 MB,500 MB,1 GB,2 GB,4 GB
log1,0.127920,0.079035,8.348199,15.827472,33.101851,64.486792
log2,0.001999,0.026982,7.883921,15.673316,32.083419,63.909465
log3,0.001996,0.025986,9.065768,16.121041,32.052880,64.930365
log4,0.001997,0.025914,7.803931,16.042337,33.341659,71.978707
log5,0.001999,0.024983,8.747272,16.537128,34.538821,67.740378
log6,0.002000,0.027492,8.521868,15.814964,32.532992,65.994783
log7,0.001999,0.026748,7.835571,16.200554,32.319884,65.757271
log8,0.003998,0.026984,8.165492,15.736805,33.127065,65.370831
log9,0.002997,0.026984,7.860785,16.213009,32.092747,64.946932
log10,0.001998,0.028981,8.057409,19.936699,34.629333,69.894889
